SampleID	Genotype	BioRep	TechRep
line26_1_EKRN230013119-1A_HYC7LDSX5_L2	line26	1	FALSE
line26_1_EKRN230013119-1A_HYF2LDSX5_L2	line26	1	TRUE
line26_2_EKRN230013120-1A_HYCYGDSX5_L1	line26	2	FALSE
line26_2_EKRN230013120-1A_HYF2LDSX5_L2	line26	2	TRUE
line26_3_EKRN230013121-1A_HYCYGDSX5_L1	line26	3	FALSE
line26_3_EKRN230013121-1A_HYF2LDSX5_L2	line26	3	TRUE
line26_4_EKRN230013122-1A_HYF2LDSX5_L2	line26	4	FALSE
line3_1_EKRN230013115-1A_HVFWHDSX5_L4	line3	1	FALSE
line3_1_EKRN230013115-1A_HVGKTDSX5_L3	line3	1	TRUE
line3_2_EKRN230013116-1A_HVFWHDSX5_L4	line3	2	FALSE
line3_2_EKRN230013116-1A_HVGKTDSX5_L3	line3	2	TRUE
line3_3_EKRN230013117-1A_HYF2LDSX5_L2	line3	3	FALSE
line3_4_EKRN230013118-1A_HYCYGDSX5_L1	line3	4	FALSE
line3_4_EKRN230013118-1A_HYF2LDSX5_L2	line3	4	TRUE
T89_1_EKRN230013111-1A_HVF2VDSX5_L2	T89	1	FALSE
T89_1_EKRN230013111-1A_HVGLKDSX5_L3	T89	1	TRUE
T89_2_EKRN230013112-1A_HVGLKDSX5_L3	T89	2	FALSE
T89_3_EKRN230013113-1A_HVF2VDSX5_L2	T89	3	FALSE
T89_3_EKRN230013113-1A_HVGLKDSX5_L3	T89	3	TRUE
T89_4_EKRN230013114-1A_HVFVCDSX5_L4	T89	4	FALSE
T89_4_EKRN230013114-1A_HVFWHDSX5_L4	T89	4	TRUE
